original_id	canonical_id
royals:wp:en:hori-naoyasu-d1819	royals:wp:en:hori-naoyasu-d1819
royals:wp:en:hori-naoyasu-d1860	royals:wp:en:hori-naoyasu-d1860
royals:wp:en:hori-naokata-muramatsu	royals:wp:en:hori-naokata-muramatsu
royals:wp:en:hori-naohide-muramatsu	royals:wp:en:hori-naohide-muramatsu
royals:wp:en:hori-naohiro-muramatsu	royals:wp:en:hori-naohiro-muramatsu
royals:wp:en:hori-naoshige	royals:wp:en:hori-naoshige
royals:wp:en:hori-naomasu	royals:wp:en:hori-naomasu
royals:wp:en:hori-naosuke	royals:wp:en:hori-naosuke
royals:wp:en:hori-naohide-suzaka	royals:wp:en:hori-naohide-suzaka
royals:wp:en:hori-naohiro-suzaka	royals:wp:en:hori-naohiro-suzaka
royals:wp:en:hori-naokata-suzaka	royals:wp:en:hori-naokata-suzaka
royals:wp:en:hori-naoteru-d-1669	royals:wp:en:hori-naoteru-d-1669
royals:wp:en:hori-naosato	royals:wp:en:hori-naosato
royals:wp:en:hori-naoteru-d1813	royals:wp:en:hori-naoteru-d1813
royals:wp:en:hori-naooki	royals:wp:en:hori-naooki
royals:wp:en:hori-naotada	royals:wp:en:hori-naotada
royals:wp:en:hori-naotake	royals:wp:en:hori-naotake
royals:wp:en:ii-naonori-yoita	royals:wp:en:ii-naonori-yoita
royals:wp:en:ii-naoharu	royals:wp:en:ii-naoharu
royals:wp:en:ii-naokazu	royals:wp:en:ii-naokazu
royals:wp:en:ii-naoari	royals:wp:en:ii-naoari
royals:wp:en:ii-naokuni	royals:wp:en:ii-naokuni
royals:wp:en:ii-naoakira	royals:wp:en:ii-naoakira
royals:wp:en:ii-naoteru	royals:wp:en:ii-naoteru
royals:wp:en:ii-naotsune	royals:wp:en:ii-naotsune
royals:wp:en:ii-naoatsu	royals:wp:en:ii-naoatsu
royals:wp:en:ii-naoyasu	royals:wp:en:ii-naoyasu
royals:wp:en:doi-toshinori-ōno	royals:wp:en:doi-toshinori-ōno
royals:wp:en:itakura-shigehiro	royals:wp:en:itakura-shigehiro
royals:wp:en:itakura-shigeyasu	royals:wp:en:itakura-shigeyasu
royals:wp:en:itakura-katsusato	royals:wp:en:itakura-katsusato
royals:wp:en:itakura-katsutsugu	royals:wp:en:itakura-katsutsugu
royals:wp:en:itakura-katsutō	royals:wp:en:itakura-katsutō
royals:wp:en:itakura-katsuyuki	royals:wp:en:itakura-katsuyuki
royals:wp:en:itakura-katsunori	royals:wp:en:itakura-katsunori
royals:wp:en:itakura-katsunaga	royals:wp:en:itakura-katsunaga
royals:wp:en:itakura-katsutoshi	royals:wp:en:itakura-katsutoshi
royals:wp:en:itakura-katsuaki-fukushima	royals:wp:en:itakura-katsuaki-fukushima
royals:wp:en:itakura-katsumi	royals:wp:en:itakura-katsumi
royals:wp:en:itakura-katsusato-viscount	royals:wp:en:itakura-katsusato-viscount
royals:wp:en:doi-toshikata-ōno	royals:wp:en:doi-toshikata-ōno
royals:wp:en:maeda-toshiharu	royals:wp:en:maeda-toshiharu
royals:wp:en:maeda-toshinao	royals:wp:en:maeda-toshinao
royals:wp:en:maeda-toshiakira	royals:wp:en:maeda-toshiakira
royals:wp:en:maeda-toshitane	royals:wp:en:maeda-toshitane
royals:wp:en:maeda-toshinaka	royals:wp:en:maeda-toshinaka
royals:wp:en:maeda-toshihira	royals:wp:en:maeda-toshihira
royals:wp:en:maeda-toshikore	royals:wp:en:maeda-toshikore
royals:wp:en:maeda-toshika	royals:wp:en:maeda-toshika
royals:wp:en:maeda-toshiyasu-daishoji	royals:wp:en:maeda-toshiyasu-daishoji
royals:wp:en:maeda-toshiaki-i	royals:wp:en:maeda-toshiaki-i
royals:wp:en:maeda-toshiaki-ii	royals:wp:en:maeda-toshiaki-ii
royals:wp:en:maeda-toshimichi-i	royals:wp:en:maeda-toshimichi-i
royals:wp:en:maeda-toshimichi-ii	royals:wp:en:maeda-toshimichi-ii
royals:wp:en:maeda-toshiatsu	royals:wp:en:maeda-toshiatsu
royals:wp:en:maeda-toshikata	royals:wp:en:maeda-toshikata
royals:wp:en:maeda-toshitomo	royals:wp:en:maeda-toshitomo
royals:wp:en:maeda-toshitsuyo	royals:wp:en:maeda-toshitsuyo
royals:wp:en:maeda-toshinori-daishoji	royals:wp:en:maeda-toshinori-daishoji
royals:wp:en:maeda-toshinori-toyama	royals:wp:en:maeda-toshinori-toyama
royals:wp:en:maeda-toshihisa	royals:wp:en:maeda-toshihisa
royals:wp:en:maeda-toshiyuki	royals:wp:en:maeda-toshiyuki
royals:wp:en:maeda-toshitaka-toyama	royals:wp:en:maeda-toshitaka-toyama
royals:wp:en:maeda-toshioki	royals:wp:en:maeda-toshioki
royals:wp:en:maeda-masatoshi	royals:wp:en:maeda-masatoshi
royals:wp:en:makino-yasushige	royals:wp:en:makino-yasushige
royals:wp:en:makino-yasuchika	royals:wp:en:makino-yasuchika
royals:wp:en:makino-yasumitsu	royals:wp:en:makino-yasumitsu
royals:wp:en:makino-yasuyori	royals:wp:en:makino-yasuyori
royals:wp:en:makino-yasutomo	royals:wp:en:makino-yasutomo
royals:wp:en:makino-yasunaga	royals:wp:en:makino-yasunaga
royals:wp:en:makino-yasuakira	royals:wp:en:makino-yasuakira
royals:wp:en:makino-yasutoshi	royals:wp:en:makino-yasutoshi
royals:wp:en:makino-yasunobu	royals:wp:en:makino-yasunobu
royals:wp:en:makino-yasumasa	royals:wp:en:makino-yasumasa
royals:wp:en:manabe-akitoki	royals:wp:en:manabe-akitoki
royals:wp:en:manabe-akinaka	royals:wp:en:manabe-akinaka
royals:wp:en:manabe-akitō	royals:wp:en:manabe-akitō
royals:wp:en:manabe-akihiro	royals:wp:en:manabe-akihiro
royals:wp:en:manabe-akisane	royals:wp:en:manabe-akisane
royals:wp:en:manabe-akizane	royals:wp:en:manabe-akizane
